Name,Country,Sector,Industry
KACL,Kairous Acquisition Corp. Limited Ordinary Shares,Malaysia,Finance,Blank Checks
KALA,KALA BIO Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KALU,Kaiser Aluminum Corporation Common Stock,United States,Industrials,Metal Fabrications
KALV,KalVista Pharmaceuticals Inc. Common Stock,United Kingdom,Health Care,Biotechnology: Pharmaceutical Preparations
KARO,Karooooo Ltd. Ordinary Shares,Singapore,Technology,Computer Software: Prepackaged Software
KAVL,Kaival Brands Innovations Group Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
KC,Kingsoft Cloud Holdings Limited American Depositary Shares,China,Technology,Computer Software: Prepackaged Software
KDLY,Kindly MD Inc. Common Stock,United States,Health Care,Medical/Nursing Services
KDP,Keurig Dr Pepper Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution)
KE,Kimball Electronics Inc. Common Stock,United States,Technology,Electrical Products
KELYA,Kelly Services Inc. Class A Common Stock,United States,Consumer Discretionary,Professional Services
KELYB,Kelly Services Inc. Class B Common Stock,United States,Consumer Discretionary,Professional Services
KEQU,Kewaunee Scientific Corporation Common Stock,United States,Industrials,Medical Specialities
KFFB,Kentucky First Federal Bancorp Common Stock,United States,Finance,Savings Institutions
KGEI,Kolibri Global Energy Inc. Common stock,United States,Energy,Oil & Gas Production
KHC,The Kraft Heinz Company Common Stock,United States,Consumer Staples,Packaged Foods
KIDS,OrthoPediatrics Corp. Common Stock,United States,Health Care,Medical/Dental Instruments
KINS,Kingstone Companies Inc. Common Stock,United States,Finance,Property-Casualty Insurers
KIRK,Kirkland's Inc. COMMONSTOCK,United States,Consumer Discretionary,Other Specialty Stores
KITT,Nauticus Robotics Inc. Common stock,United States,Industrials,Industrial Machinery/Components
KITTW,Nauticus Robotics Inc. Warrant,United States,Industrials,Industrial Machinery/Components
KLAC,KLA Corporation Common Stock,United States,Technology,Electronic Components
KLIC,Kulicke and Soffa Industries Inc. Common Stock,Singapore,Technology,Semiconductors
KLTR,Kaltura Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
KLXE,KLX Energy Services Holdings Inc. Common Stock,United States,Energy,Oilfield Services/Equipment
KMDA,Kamada Ltd. Ordinary Shares,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
KNDI,Kandi Technologies Group Inc. Ordinary Shares,China,Consumer Discretionary,Auto Manufacturing
KNSA,Kiniksa Pharmaceuticals International plc Class A Ordinary Shares,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KOD,Kodiak Sciences Inc Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KOPN,Kopin Corporation Common Stock,United States,Technology,Semiconductors
KOSS,Koss Corporation Common Stock,United States,Consumer Staples,Consumer Electronics/Appliances
KPLT,Katapult Holdings Inc. Common Stock,United States,Consumer Discretionary,Diversified Commercial Services
KPLTW,Katapult Holdings Inc. Warrant,United States,Consumer Discretionary,Diversified Commercial Services
KPRX,Kiora Pharmaceuticals Inc.  Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KPTI,Karyopharm Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KRKR,36Kr Holdings Inc. American Depositary Shares,China,Consumer Discretionary,Business Services
KRMD,KORU Medical Systems Inc. Common Stock (DE),United States,Health Care,Medical/Dental Instruments
KRNT,Kornit Digital Ltd. Ordinary Shares,Israel,Industrials,Industrial Machinery/Components
KRNY,Kearny Financial Corp Common Stock,United States,Finance,Savings Institutions
KRON,Kronos Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KROS,Keros Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KRRO,Korro Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KRT,Karat Packaging Inc. Common Stock,United States,Industrials,Plastic Products
KRUS,Kura Sushi USA Inc. Class A Common Stock,United States,Consumer Discretionary,Restaurants
KRYS,Krystal Biotech Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KSCP,Knightscope Inc. Class A Common Stock,United States,Telecommunications,Telecommunications Equipment
KSPI,Joint Stock Company Kaspi.kz American Depository Shares,Kazakhstan,,
KTCC,Key Tronic Corporation Common Stock,United States,Technology,Electrical Products
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,United States,Industrials,Military/Government/Technical
KTRA,Kintara Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KTTA,Pasithea Therapeutics Corp. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KURA,Kura Oncology Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
KVAC,Keen Vision Acquisition Corporation Ordinary Shares,United States,,
KVACU,Keen Vision Acquisition Corporation Units,United States,,
KVACW,Keen Vision Acquisition Corporation Warrant,United States,,
KVHI,KVH Industries Inc. Common Stock,United States,Technology,Radio And Television Broadcasting And Communications Equipment
KWE,KWESST Micro Systems Inc. Common Stock,Canada,Technology,Computer Software: Prepackaged Software
KWESW,KWESST Micro Systems Inc. Warrant,Canada,Technology,Computer Software: Prepackaged Software
KXIN,Kaixin Holdings Ordinary Shares,China,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
KYMR,Kymera Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KYTX,Kyverna Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KZIA,Kazia Therapeutics Limited American Depositary Shares,Australia,Health Care,Biotechnology: Pharmaceutical Preparations
KZR,Kezar Life Sciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LAB,Standard BioTools Inc. Common Stock,United States,Industrials,Biotechnology: Laboratory Analytical Instruments
LAES,SEALSQ Corp Ordinary Shares,Switzerland,Technology,Semiconductors
LAKE,Lakeland Industries Inc. Common Stock,United States,Health Care,Industrial Specialties
LAMR,Lamar Advertising Company Class A Common Stock,United States,Real Estate,Real Estate Investment Trusts
LANC,Lancaster Colony Corporation Common Stock,United States,Consumer Staples,Packaged Foods
LAND,Gladstone Land Corporation Common Stock,United States,Real Estate,Real Estate Investment Trusts
LANDM,Gladstone Land Corporation 5.00% Series D Cumulative Term Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
LANDO,Gladstone Land Corporation 6.00% Series B Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
LANDP,Gladstone Land Corporation 6.00% Series C Cumulative Redeemable Preferred Stock,United States,Real Estate,Real Estate Investment Trusts
LARK,Landmark Bancorp Inc. Common Stock,United States,Finance,Major Banks
LASE,Laser Photonics Corporation Common Stock,United States,Miscellaneous,Industrial Machinery/Components
LASR,nLIGHT Inc. Common Stock,United States,Technology,Semiconductors
LATGU,Chenghe Acquisition I Co. Unit,Mexico,Finance,Blank Checks
LAUR,Laureate Education Inc. Common Stock,United States,Real Estate,Other Consumer Services
LAZR,Luminar Technologies Inc.  Class A Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
LBPH,Longboard Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LBRDA,Liberty Broadband Corporation Class A Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
LBRDK,Liberty Broadband Corporation Class C Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,United States,Telecommunications,Cable & Other Pay Television Services
LBTYA,Liberty Global Ltd. Class A Common Shares,United Kingdom,Telecommunications,Cable & Other Pay Television Services
LBTYB,Liberty Global Ltd. Class B Common Shares,United Kingdom,Telecommunications,Cable & Other Pay Television Services
LBTYK,Liberty Global Ltd. Class C Common Shares,United Kingdom,Telecommunications,Cable & Other Pay Television Services
LCFY,Locafy Limited Ordinary Share,Australia,Technology,Computer Software: Programming Data Processing
LCFYW,Locafy Limited Warrant,Australia,Technology,Computer Software: Programming Data Processing
LCID,Lucid Group Inc. Common Stock,United States,Consumer Discretionary,Auto Manufacturing
LCNB,LCNB Corporation Common Stock,United States,Finance,Major Banks
LCUT,Lifetime Brands Inc. Common Stock,United States,Consumer Discretionary,Industrial Machinery/Components
LDTC,LeddarTech Holdings Inc. Common Shares,United States,Technology,Computer Software: Prepackaged Software
LDTCW,LeddarTech Holdings Inc. Warrants,United States,Technology,Computer Software: Prepackaged Software
LDWY,Lendway Inc. Common Stock (DE),United States,Consumer Discretionary,Advertising
LE,Lands' End Inc. Common Stock,United States,Consumer Discretionary,Clothing/Shoe/Accessory Stores
LECO,Lincoln Electric Holdings Inc. Common Shares,United States,Industrials,Industrial Machinery/Components
LEDS,SemiLEDS Corporation Common Stock,Taiwan,Technology,Semiconductors
LEE,Lee Enterprises Incorporated Common Stock,United States,Consumer Discretionary,Newspapers/Magazines
LEGH,Legacy Housing Corporation Common Stock (TX),United States,Consumer Discretionary,Homebuilding
LEGN,Legend Biotech Corporation American Depositary Shares,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LENZ,LENZ Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LESL,Leslie's Inc. Common Stock,United States,Consumer Discretionary,Other Specialty Stores
LEXX,Lexaria Bioscience Corp. Common Stock,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
LEXXW,Lexaria Bioscience Corp. Warrant,Canada,Health Care,Biotechnology: Pharmaceutical Preparations
LFCR,Lifecore Biomedical Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LFLY,Leafly Holdings Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
LFLYW,Leafly Holdings Inc. Warrant,United States,Technology,Computer Software: Prepackaged Software
LFMD,LifeMD Inc. Common Stock,United States,Health Care,Medical/Nursing Services
LFMDP,LifeMD Inc. 8.875% Series A Cumulative Perpetual Preferred Stock,United States,Health Care,Medical/Nursing Services
LFST,LifeStance Health Group Inc. Common Stock,United States,Health Care,Medical/Nursing Services
LFUS,Littelfuse Inc. Common Stock,United States,Energy,Electrical Products
LFVN,Lifevantage Corporation Common Stock (Delaware),United States,Health Care,Biotechnology: Pharmaceutical Preparations
LFWD,ReWalk Robotics Ltd. Ordinary Shares,Israel,Health Care,Industrial Specialties
LGCB,Linkage Global Inc Ordinary Shares,Japan,Consumer Discretionary,Catalog/Specialty Distribution
LGCL,Lucas GC Limited Ordinary Shares,China,Technology,Computer Software: Programming Data Processing
LGHL,Lion Group Holding Ltd. American Depositary Share,China,Finance,Investment Bankers/Brokers/Service
LGHLW,Lion Group Holding Ltd. Warrant,China,Finance,Investment Bankers/Brokers/Service
LGIH,LGI Homes Inc. Common Stock,United States,Consumer Discretionary,Homebuilding
LGMK,LogicMark Inc. Common Stock (NV),United States,Health Care,Industrial Specialties
LGND,Ligand Pharmaceuticals Incorporated Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LGO,Largo Inc. Common Shares,Canada,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGVN,Longeveron Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LI,Li Auto Inc. American Depositary Shares,China,Consumer Discretionary,Auto Manufacturing
LICN,Lichen China Limited Class A Ordinary Shares,China,Consumer Discretionary,Professional Services
LIDR,AEye Inc. Class A Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
LIDRW,AEye Inc. Warrant,United States,Consumer Discretionary,Auto Parts:O.E.M.
LIF,Life360 Inc. Common Stock,United States,,
LIFW,MSP Recovery Inc. Class A Common Stock,United States,Technology,EDP Services
LIFWW,MSP Recovery Inc. Warrant,United States,Technology,EDP Services
LIFWZ,MSP Recovery Inc. Warrant,United States,Technology,EDP Services
LILA,Liberty Latin America Ltd. Class A Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
LILAK,Liberty Latin America Ltd. Class C Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
LILM,Lilium NV Class A Ordinary Shares,Germany,Industrials,Aerospace
LILMW,Lilium N.V. Warrants,Germany,Industrials,Aerospace
LIN,Linde plc Ordinary Shares,United States,Industrials,Major Chemicals
LINC,Lincoln Educational Services Corporation Common Stock,United States,Real Estate,Other Consumer Services
LIND,Lindblad Expeditions Holdings Inc. Common Stock,United States,Consumer Discretionary,Transportation Services
LINE,Lineage Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
LINK,Interlink Electronics Inc. Common Stock,United States,Technology,Computer peripheral equipment
LION,Lionsgate Studios Corp. Common Shares,United States,Consumer Discretionary,Movies/Entertainment
LIPO,Lipella Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LIQT,LiqTech International Inc. Common Stock,Denmark,Technology,Industrial Machinery/Components
LITE,Lumentum Holdings Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
LITM,Snow Lake Resources Ltd. Common Shares,Canada,Basic Materials,Other Metals and Minerals
LIVE,Live Ventures Incorporated Common Stock,United States,Consumer Discretionary,Other Specialty Stores
LIVN,LivaNova PLC Ordinary Shares,United Kingdom,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LIXT,Lixte Biotechnology Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LKCO,Luokung Technology Corp Ordinary Shares,China,Technology,EDP Services
LKFN,Lakeland Financial Corporation Common Stock,United States,Finance,Major Banks
LKQ,LKQ Corporation Common Stock,United States,Consumer Discretionary,Motor Vehicles
LLYVA,Liberty Media Corporation Series A Liberty Live Common Stock,United States,Industrials,Broadcasting
LLYVK,Liberty Media Corporation Series C Liberty Live Common Stock,United States,Industrials,Broadcasting
LMAT,LeMaitre Vascular Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
LMB,Limbach Holdings Inc. Common Stock,United States,Consumer Discretionary,Engineering & Construction
LMFA,LM Funding America Inc. Common Stock,United States,Finance,Finance: Consumer Services
LMNR,Limoneira Co Common Stock,United States,Consumer Staples,Farming/Seeds/Milling
LNKB,LINKBANCORP Inc. Common Stock,United States,Finance,Major Banks
LNSR,LENSAR Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
LNT,Alliant Energy Corporation Common Stock,United States,Utilities,Power Generation
LNTH,Lantheus Holdings Inc. Common Stock,United States,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
LNW,Light & Wonder Inc. Common Stock,United States,Technology,EDP Services
LNZA,LanzaTech Global Inc. Common Stock,United States,Industrials,Major Chemicals
LNZAW,LanzaTech Global Inc. Warrant,United States,Industrials,Major Chemicals
LOAN,Manhattan Bridge Capital Inc,United States,Real Estate,Real Estate Investment Trusts
LOBO,LOBO EV TECHNOLOGIES LTD. Ordinary shares,China,Consumer Discretionary,Motor Vehicles
LOCO,El Pollo Loco Holdings Inc. Common Stock,United States,Consumer Discretionary,Restaurants
LOGC,ContextLogic Inc. Class A Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
LOGI,Logitech International S.A. Ordinary Shares,United States,Technology,Computer peripheral equipment
LOOP,Loop Industries Inc. Common Stock,Canada,Industrials,Major Chemicals
LOPE,Grand Canyon Education Inc. Common Stock,United States,Real Estate,Other Consumer Services
LOT,Lotus Technology Inc. American Depositary Shares,China,,
LOTWW,Lotus Technology Inc. Warrants,China,Consumer Discretionary,Auto Manufacturing
LOVE,The Lovesac Company Common Stock,United States,Consumer Discretionary,Other Specialty Stores
LPAAU,Launch One Acquisition Corp. Unit,United States,Finance,Blank Checks
LPCN,Lipocine Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LPLA,LPL Financial Holdings Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service
LPRO,Open Lending Corporation Common Stock,United States,Finance,Finance: Consumer Services
LPSN,LivePerson Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
LPTH,LightPath Technologies Inc. Class A Common Stock,United States,Technology,Semiconductors
LPTX,Leap Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LQDA,Liquidia Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LQDT,Liquidity Services Inc. Common Stock,United States,Consumer Discretionary,Business Services
LQR,LQR House Inc. Common Stock,United States,Consumer Staples,Beverages (Production/Distribution)
LRCX,Lam Research Corporation Common Stock,United States,Technology,Industrial Machinery/Components
LRE,Lead Real Estate Co. Ltd American Depositary Shares,Japan,Consumer Discretionary,Homebuilding
LRFC,Logan Ridge Finance Corporation Common Stock,United States,Finance,Finance: Consumer Services
LRHC,La Rosa Holdings Corp. Common Stock,United States,Finance,Real Estate
LRMR,Larimar Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LSAK,Lesaka Technologies Inc. Common Stock,South Africa,Finance,Investment Bankers/Brokers/Service
LSB,LakeShore Biopharma Co. Ltd Ordinary Shares,China,Health Care,Biotechnology: Pharmaceutical Preparations
LSBK,Lake Shore Bancorp Inc. Common Stock,United States,Finance,Savings Institutions
LSCC,Lattice Semiconductor Corporation Common Stock,United States,Technology,Semiconductors
LSEA,Landsea Homes Corporation Common Stock,United States,Consumer Discretionary,Homebuilding
LSEAW,Landsea Homes Corporation Warrant,United States,Consumer Discretionary,Homebuilding
LSH,Lakeside Holding Limited Common Stock,United States,,
LSTA,Lisata Therapeutics Inc. Common Stock,United States,Health Care,Misc Health and Biotechnology Services
LSTR,Landstar System Inc. Common Stock,United States,Industrials,Trucking Freight/Courier Services
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,United States,Industrials,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,United States,Industrials,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,United States,Industrials,Broadcasting
LTBR,Lightbridge Corporation Common Stock,United States,Consumer Discretionary,Professional Services
LTRN,Lantern Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LTRX,Lantronix Inc. Common Stock,United States,Telecommunications,Computer Communications Equipment
LTRY,Lottery.com Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
LTRYW,Lottery.com Inc. Warrants,United States,Technology,Computer Software: Prepackaged Software
LUCD,Lucid Diagnostics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
LUCY,Innovative Eyewear Inc. Common Stock,United States,Health Care,Ophthalmic Goods
LUCYW,Innovative Eyewear Inc. Series A Warrants 8/16/27,United States,Health Care,Ophthalmic Goods
LULU,lululemon athletica inc. Common Stock,Canada,Consumer Discretionary,Apparel
LUMO,Lumos Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LUNA,Luna Innovations Incorporated Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
LUNG,Pulmonx Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
LUNR,Intuitive Machines Inc. Class A Common Stock,United States,Industrials,Industrial Machinery/Components
LUNRW,Intuitive Machines Inc. Warrants,United States,Industrials,Industrial Machinery/Components
LUXH,LuxUrban Hotels Inc. Common Stock,United States,Finance,Real Estate
LUXHP,LuxUrban Hotels Inc. 13.00% Series A Cumulative Redeemable Preferred Stock,United States,Finance,Real Estate
LVLU,Lulu's Fashion Lounge Holdings Inc. Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
LVO,LiveOne Inc. Common Stock,United States,Consumer Discretionary,Restaurants
LVRO,Lavoro Limited Class A Ordinary Shares,Brazil,Consumer Discretionary,Other Specialty Stores
LVTX,LAVA Therapeutics N.V. Ordinary Shares,Netherlands,Health Care,Biotechnology: Pharmaceutical Preparations
LWAY,Lifeway Foods Inc. Common Stock,United States,Consumer Staples,Packaged Foods
LWLG,Lightwave Logic Inc. Common Stock,United States,Industrials,Containers/Packaging
LX,LexinFintech Holdings Ltd. American Depositary Shares,China,Finance,Finance: Consumer Services
LXEH,Lixiang Education Holding Co. Ltd. American Depositary Shares,China,Real Estate,Other Consumer Services
LXEO,Lexeo Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LYEL,Lyell Immunopharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
LYFT,Lyft Inc. Class A Common Stock,United States,Consumer Discretionary,Business Services
LYRA,Lyra Therapeutics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
LYT,Lytus Technologies Holdings PTV. Ltd. Common Shares,United Arab Emirates,Technology,EDP Services
LYTS,LSI Industries Inc. Common Stock,United States,Consumer Discretionary,Building Products
LZ,LegalZoom.com Inc. Common Stock,United States,Technology,EDP Services
MACA,Moringa Acquisition Corp Class A Ordinary Shares,United States,Finance,Blank Checks
MACAU,Moringa Acquisition Corp Units,United States,Finance,Blank Checks
MACAW,Moringa Acquisition Corp Warrant,United States,Finance,Blank Checks
MACI,Melar Acquisition Corp. I Class A Ordinary Shares,United States,,
MACIU,Melar Acquisition Corp. I Unit,United States,,
MACIW,Melar Acquisition Corp. I Warrant,United States,,
MAMA,Mama's Creations Inc. Common Stock,United States,Consumer Staples,Specialty Foods
MAMO,Massimo Group Common Stock,United States,Consumer Discretionary,Industrial Specialties
MANH,Manhattan Associates Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
MAPS,WM Technology Inc. Class A Common Stock ,United States,Technology,Computer Software: Prepackaged Software
MAPSW,WM Technology Inc. Warrants ,United States,Technology,Computer Software: Prepackaged Software
MAR,Marriott International Class A Common Stock,United States,Consumer Discretionary,Hotels/Resorts
MARA,Marathon Digital Holdings Inc. Common Stock,United States,Technology,EDP Services
MARPS,Marine Petroleum Trust Units of Beneficial Interest,United States,Energy,Oil & Gas Production
MARX,Mars Acquisition Corp. Ordinary Shares,United States,Finance,Blank Checks
MARXU,Mars Acquisition Corp. Unit,United States,Finance,Blank Checks
MASI,Masimo Corporation Common Stock,United States,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MASS,908 Devices Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
MAT,Mattel Inc. Common Stock,United States,Consumer Discretionary,Recreational Games/Products/Toys
MATH,Metalpha Technology Holding Limited Ordinary Shares,China,Finance,Finance/Investors Services
MATW,Matthews International Corporation Class A Common Stock,United States,Telecommunications,Metal Fabrications
MAXN,Maxeon Solar Technologies Ltd. Ordinary Shares,Singapore,Technology,Semiconductors
MAYS,J. W. Mays Inc. Common Stock,United States,Real Estate,Building operators
MBAVU,M3-Brigade Acquisition V Corp. Units,United States,Finance,Blank Checks
MBCN,Middlefield Banc Corp. Common Stock,United States,Finance,Major Banks
MBIN,Merchants Bancorp Common Stock,United States,Finance,Major Banks
MBINM,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of 8.25% Fixed-Rate Reset Series D Non-Cumulative Perpetual Preferred Stock,United States,Finance,Major Banks
MBINN,Merchants Bancorp Depositary Shares Preferred Series C,United States,Finance,Major Banks
MBINO,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series B  Fixed-to-Floating Rate,United States,Finance,Major Banks
MBIO,Mustang Bio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MBLY,Mobileye Global Inc. Class A Common Stock,Israel,Technology,Computer Software: Prepackaged Software
MBNKP,Medallion Bank Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series F,United States,Finance,Commercial Banks
MBOT,Microbot Medical Inc. Common Stock,Israel,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MBRX,Moleculin Biotech Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MBUU,Malibu Boats Inc. Class A Common Stock,United States,Industrials,Marine Transportation
MBWM,Mercantile Bank Corporation Common Stock,United States,Finance,Major Banks
MCAA,Mountain & Co. I Acquisition Corp. Class A Ordinary Shares,United States,Finance,Blank Checks
MCAAW,Mountain & Co. I Acquisition Corp. Warrant,United States,Finance,Blank Checks
MCAG,Mountain Crest Acquisition Corp. V Common Stock,United States,Finance,Blank Checks
MCBS,MetroCity Bankshares Inc. Common Stock,United States,Finance,Major Banks
MCFT,MasterCraft Boat Holdings Inc. Common Stock,United States,Industrials,Marine Transportation
MCHP,Microchip Technology Incorporated Common Stock,United States,Technology,Semiconductors
MCHX,Marchex Inc. Class B Common Stock,United States,Consumer Discretionary,Business Services
MCRB,Seres Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MCRI,Monarch Casino & Resort Inc. Common Stock,United States,Consumer Discretionary,Hotels/Resorts
MCVT,Mill City Ventures III Ltd. Common Stock,United States,Finance,Finance Companies
MDAI,Spectral AI Inc. Class A Common Stock,United States,Health Care,Medical/Dental Instruments
MDAIW,Spectral AI Inc. Warrants,United States,Health Care,Medical/Dental Instruments
MDB,MongoDB Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
MDBH,MDB Capital Holdings LLC Class A common,United States,Finance,Finance: Consumer Services
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MDIA,Mediaco Holding Inc. Class A Common Stock ,United States,Consumer Discretionary,Broadcasting
MDJH,MDJM LTD Ordinary Share,China,Finance,Real Estate
MDLZ,Mondelez International Inc. Class A Common Stock,United States,Consumer Staples,Packaged Foods
MDRR,Medalist Diversified REIT Inc. Common Stock,United States,Real Estate,Real Estate Investment Trusts
MDWD,MediWound Ltd. Ordinary Shares,Israel,Health Care, Medicinal Chemicals and Botanical Products 
MDXG,MiMedx Group Inc Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MDXH,MDxHealth SA Ordinary Shares,Belgium,Health Care,Medical Specialities
ME,23andMe Holding Co. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MEDP,Medpace Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MEDS,TRxADE HEALTH Inc. Common Stock,United States,Health Care,Other Pharmaceuticals
MEGL,Magic Empire Global Limited Ordinary Shares,Hong Kong,Finance,Finance: Consumer Services
MEIP,MEI Pharma Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
MELI,MercadoLibre Inc. Common Stock,Argentina,Consumer Discretionary,Business Services
MEOH,Methanex Corporation Common Stock,Canada,Industrials,Major Chemicals
MERC,Mercer International Inc. Common Stock,Canada,Basic Materials,Paper
MESA,Mesa Air Group Inc. Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
MESO,Mesoblast Limited American Depositary Shares,Australia,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
META,Meta Platforms Inc. Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
METC,Ramaco Resources Inc. Class A Common Stock,United States,Energy,Coal Mining
METCB,Ramaco Resources Inc. Class B Common Stock,United States,Energy,Coal Mining
METCL,Ramaco Resources Inc. 9.00% Senior Notes due 2026,United States,Energy,Coal Mining
MFH,Mercurity Fintech Holding Inc. Ordinary Shares,China,Finance,Finance: Consumer Services
MFI,mF International Limited Ordinary Shares,Hong Kong,Technology,EDP Services
MFIC,MidCap Financial Investment Corporation Common Stock,United States,Finance,Finance/Investors Services
MFICL,MidCap Financial Investment Corporation 8.00% Notes due 2028,United States,Finance,Finance/Investors Services
MFIN,Medallion Financial Corp. Common Stock,United States,Finance,Finance: Consumer Services
MGEE,MGE Energy Inc,United States,Energy,Electric Utilities: Central
MGIC,Magic Software Enterprises Ltd. Ordinary Shares,Israel,Technology,Computer Software: Prepackaged Software
